model,fold,metric,value,dataset,task
SVM_RBF,2,roc_auc,0.8932231020027946,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,accuracy,0.8675496688741722,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,precision,0.849624060150376,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,recall,1.0,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,f1,0.9186991869918699,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,roc_auc,0.9117373078714486,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,accuracy,0.8543046357615894,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,precision,0.837037037037037,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,recall,1.0,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,f1,0.9112903225806451,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,roc_auc,0.9035863996273871,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,accuracy,0.8145695364238411,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,precision,0.823076923076923,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,recall,0.9553571428571429,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,f1,0.8842975206611571,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,roc_auc,0.8521062271062271,PD_SPEECH_FEATURES,N/A
RandomForest,1,accuracy,0.881578947368421,PD_SPEECH_FEATURES,N/A
RandomForest,1,precision,0.8740157480314961,PD_SPEECH_FEATURES,N/A
RandomForest,1,recall,0.9823008849557522,PD_SPEECH_FEATURES,N/A
RandomForest,1,f1,0.925,PD_SPEECH_FEATURES,N/A
RandomForest,1,roc_auc,0.9338552303154073,PD_SPEECH_FEATURES,N/A
RandomForest,2,accuracy,0.9072847682119205,PD_SPEECH_FEATURES,N/A
RandomForest,2,precision,0.896,PD_SPEECH_FEATURES,N/A
RandomForest,2,recall,0.9911504424778761,PD_SPEECH_FEATURES,N/A
RandomForest,2,f1,0.9411764705882353,PD_SPEECH_FEATURES,N/A
RandomForest,2,roc_auc,0.932231020027946,PD_SPEECH_FEATURES,N/A
RandomForest,3,accuracy,0.8874172185430463,PD_SPEECH_FEATURES,N/A
RandomForest,3,precision,0.875,PD_SPEECH_FEATURES,N/A
RandomForest,3,recall,0.9911504424778761,PD_SPEECH_FEATURES,N/A
RandomForest,3,f1,0.9294605809128631,PD_SPEECH_FEATURES,N/A
RandomForest,3,roc_auc,0.9579646017699115,PD_SPEECH_FEATURES,N/A
RandomForest,4,accuracy,0.8807947019867549,PD_SPEECH_FEATURES,N/A
RandomForest,4,precision,0.8740157480314961,PD_SPEECH_FEATURES,N/A
RandomForest,4,recall,0.9823008849557522,PD_SPEECH_FEATURES,N/A
RandomForest,4,f1,0.925,PD_SPEECH_FEATURES,N/A
RandomForest,4,roc_auc,0.9465533302282254,PD_SPEECH_FEATURES,N/A
RandomForest,5,accuracy,0.8543046357615894,PD_SPEECH_FEATURES,N/A
RandomForest,5,precision,0.8629032258064516,PD_SPEECH_FEATURES,N/A
RandomForest,5,recall,0.9553571428571429,PD_SPEECH_FEATURES,N/A
RandomForest,5,f1,0.9067796610169492,PD_SPEECH_FEATURES,N/A
RandomForest,5,roc_auc,0.9269688644688645,PD_SPEECH_FEATURES,N/A
GradientBoosting,1,accuracy,0.8552631578947368,PD_SPEECH_FEATURES,N/A
GradientBoosting,1,precision,0.8473282442748091,PD_SPEECH_FEATURES,N/A
GradientBoosting,1,recall,0.9823008849557522,PD_SPEECH_FEATURES,N/A
GradientBoosting,1,f1,0.9098360655737705,PD_SPEECH_FEATURES,N/A
GradientBoosting,1,roc_auc,0.9326072157930565,PD_SPEECH_FEATURES,N/A
GradientBoosting,2,accuracy,0.8874172185430463,PD_SPEECH_FEATURES,N/A
GradientBoosting,2,precision,0.8809523809523809,PD_SPEECH_FEATURES,N/A
GradientBoosting,2,recall,0.9823008849557522,PD_SPEECH_FEATURES,N/A
GradientBoosting,2,f1,0.9288702928870293,PD_SPEECH_FEATURES,N/A
GradientBoosting,2,roc_auc,0.9194224499301351,PD_SPEECH_FEATURES,N/A
GradientBoosting,3,accuracy,0.9205298013245033,PD_SPEECH_FEATURES,N/A
GradientBoosting,3,precision,0.904,PD_SPEECH_FEATURES,N/A
GradientBoosting,3,recall,1.0,PD_SPEECH_FEATURES,N/A
GradientBoosting,3,f1,0.9495798319327731,PD_SPEECH_FEATURES,N/A
GradientBoosting,3,roc_auc,0.9548206800186307,PD_SPEECH_FEATURES,N/A
GradientBoosting,4,accuracy,0.8741721854304636,PD_SPEECH_FEATURES,N/A
GradientBoosting,4,precision,0.8790322580645161,PD_SPEECH_FEATURES,N/A
GradientBoosting,4,recall,0.9646017699115044,PD_SPEECH_FEATURES,N/A
GradientBoosting,4,f1,0.919831223628692,PD_SPEECH_FEATURES,N/A
GradientBoosting,4,roc_auc,0.9585468095016302,PD_SPEECH_FEATURES,N/A
GradientBoosting,5,accuracy,0.8807947019867549,PD_SPEECH_FEATURES,N/A
GradientBoosting,5,precision,0.8790322580645161,PD_SPEECH_FEATURES,N/A
GradientBoosting,5,recall,0.9732142857142857,PD_SPEECH_FEATURES,N/A
GradientBoosting,5,f1,0.923728813559322,PD_SPEECH_FEATURES,N/A
GradientBoosting,5,roc_auc,0.9171245421245421,PD_SPEECH_FEATURES,N/A
XGBoost,1,accuracy,0.875,PD_SPEECH_FEATURES,N/A
XGBoost,1,precision,0.873015873015873,PD_SPEECH_FEATURES,N/A
XGBoost,1,recall,0.9734513274336283,PD_SPEECH_FEATURES,N/A
XGBoost,1,f1,0.9205020920502092,PD_SPEECH_FEATURES,N/A
XGBoost,1,roc_auc,0.9521216246879963,PD_SPEECH_FEATURES,N/A
XGBoost,2,accuracy,0.9072847682119205,PD_SPEECH_FEATURES,N/A
XGBoost,2,precision,0.9024390243902439,PD_SPEECH_FEATURES,N/A
XGBoost,2,recall,0.9823008849557522,PD_SPEECH_FEATURES,N/A
XGBoost,2,f1,0.940677966101695,PD_SPEECH_FEATURES,N/A
XGBoost,2,roc_auc,0.9368886818816953,PD_SPEECH_FEATURES,N/A
XGBoost,3,accuracy,0.9006622516556292,PD_SPEECH_FEATURES,N/A
XGBoost,3,precision,0.8828125,PD_SPEECH_FEATURES,N/A
XGBoost,3,recall,1.0,PD_SPEECH_FEATURES,N/A
XGBoost,3,f1,0.9377593360995851,PD_SPEECH_FEATURES,N/A
XGBoost,3,roc_auc,0.9722869119701909,PD_SPEECH_FEATURES,N/A
XGBoost,4,accuracy,0.9139072847682119,PD_SPEECH_FEATURES,N/A
XGBoost,4,precision,0.9032258064516129,PD_SPEECH_FEATURES,N/A
